fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
libevent/libevent,0,0,0,1,0,0,1,0,0,8177,8177,2921,75,libevent/libevent,libevent/libevent,0,468,468,273,3041140,18,14,4613,119,649,768,3,38,493.0,117.0,98.0,150.0,98.0,147.0,1
raysan5/raylib,0,1,0,1,0,1,1,0,0,8084,8084,959,93,raysan5/raylib,raysan5/raylib,1,1074,1075,338,7181,19,89,5670,10,1126,1136,0,144,464.0,107.0,97.0,109.0,97.0,161.0,1
lvgl/lvgl,1,1,0,1,0,0,1,1,0,8047,8047,1599,89,lvgl/lvgl,lvgl/lvgl,0,1209,1209,277,150,30,1,7829,35,1881,1916,1,171,479.0,112.0,96.0,125.0,96.0,162.0,1
darlinghq/darling,0,0,0,1,0,0,1,0,0,7922,7922,328,98,darlinghq/darling,darlinghq/darling,2,165,167,67,9197,8,16,3690,205,734,939,3,36,407.0,91.0,95.0,90.0,95.0,127.0,0
microsoft/react-native-code-push,0,1,0,1,1,0,1,0,0,7841,7841,1222,94,microsoft/react-native-code-push,microsoft/react-native-code-push,15,730,745,159,0,30,0,1733,43,1443,1486,6,421,459.0,104.0,94.0,115.0,94.0,156.0,1
antirez/disque,1,1,0,1,0,1,1,0,0,7823,7823,547,99,antirez/disque,antirez/disque,18,91,109,59,0,1,0,602,41,65,106,4,133,397.0,90.0,93.0,94.0,93.0,117.0,0
borgbackup/borg,0,1,0,0,1,1,1,0,0,7752,7752,595,97,borgbackup/borg,borgbackup/borg,24,2999,3023,281,4636,30,360,6589,576,2766,3342,13,95,454.0,101.0,92.0,98.0,92.0,172.0,1
cesanta/mongoose,0,1,0,1,0,0,1,1,0,7706,7706,2178,88,cesanta/mongoose,cesanta/mongoose,5,405,410,142,3798,30,9,3655,2,1055,1057,0,247,465.0,108.0,91.0,138.0,91.0,145.0,1
EZLippi/Tinyhttpd,0,0,0,1,0,0,1,0,0,7685,7685,3324,81,EZLippi/Tinyhttpd,EZLippi/Tinyhttpd,7,9,16,7,0,0,0,25,18,20,38,0,10,417.0,93.0,90.0,158.0,90.0,79.0,0
espressif/arduino-esp32,0,1,0,0,1,1,1,1,0,7682,7682,4847,78,espressif/arduino-esp32,espressif/arduino-esp32,39,1588,1627,522,1421752,30,114,1678,357,4384,4741,1,45,509.0,130.0,89.0,166.0,89.0,165.0,1
PX4/NuttX,1,1,0,1,0,1,1,1,1,99,99,160,100,PX4/NuttX,PX4/NuttX,0,162,162,521,0,0,0,42212,4,13,17,0,13,390.0,89.0,88.0,88.0,88.0,126.0,0
hvqzao/foolavc,0,1,0,1,0,1,1,0,0,98,98,33,102,hvqzao/foolavc,hvqzao/foolavc,0,0,0,1,0,0,0,9,0,1,1,0,7,248.0,75.0,87.0,73.0,87.0,1.0,0
DanieleDeSensi/peafowl,0,1,0,0,1,1,0,1,0,97,97,33,104,DanieleDeSensi/peafowl,DanieleDeSensi/peafowl,0,35,35,13,29,2,3,456,1,8,9,0,70,343.0,86.0,86.0,73.0,86.0,98.0,0
xiph/opusfile,0,0,0,0,0,1,1,0,0,96,96,47,101,xiph/opusfile,xiph/opusfile,3,10,13,26,16019,6,12,457,8,9,17,0,6,328.0,85.0,85.0,82.0,85.0,76.0,0
rigglemania/pysqlcipher3,0,1,0,1,1,0,1,0,0,95,95,29,107,rigglemania/pysqlcipher3,rigglemania/pysqlcipher3,1,0,1,5,0,0,0,33,8,10,18,0,10,277.0,80.0,84.0,69.0,84.0,40.0,0
moonpolysoft/cherly,1,1,0,1,0,0,1,0,0,94,94,16,115,moonpolysoft/cherly,moonpolysoft/cherly,0,0,0,1,0,0,0,50,2,0,2,0,7,207.0,61.0,83.0,40.0,83.0,1.0,0
heltonWernik/OpenLuck,0,0,0,1,0,0,1,0,0,93,93,47,103,heltonWernik/OpenLuck,heltonWernik/OpenLuck,0,1,1,3,0,0,0,9,3,0,3,0,5,286.0,82.0,82.0,82.0,82.0,40.0,0
Jiantastic/c-to-mips-compiler,0,0,0,1,0,0,1,0,0,92,92,28,110,Jiantastic/c-to-mips-compiler,Jiantastic/c-to-mips-compiler,0,10,10,4,0,0,0,69,0,1,1,0,13,298.0,83.0,81.0,64.0,81.0,72.0,0
bubicn/bubichain-v3,1,0,0,0,0,1,0,0,0,91,91,57,106,bubicn/bubichain-v3,bubicn/bubichain-v3,0,0,0,17,0,0,0,278,5,0,5,0,7,245.0,74.0,80.0,84.0,80.0,1.0,0
JUMA-IO/STM32_Platform,1,1,0,1,0,0,1,1,0,90,90,69,105,JUMA-IO/STM32_Platform,JUMA-IO/STM32_Platform,0,93,93,17,0,7,0,261,4,7,11,0,19,358.0,88.0,79.0,86.0,79.0,114.0,0
juce/sockproc,0,1,0,1,1,1,1,0,0,89,89,34,108,juce/sockproc,juce/sockproc,1,0,1,6,0,0,0,43,1,7,8,0,11,272.0,78.0,78.0,76.0,78.0,40.0,0
pprett/bolt,0,1,0,1,0,0,1,0,0,88,88,17,118,pprett/bolt,pprett/bolt,0,1,1,4,0,0,0,117,0,0,0,0,5,237.0,71.0,77.0,43.0,77.0,40.0,0
dimitri/pgextwlist,1,0,0,1,0,1,0,0,0,86,86,31,111,dimitri/pgextwlist,dimitri/pgextwlist,2,23,25,17,0,4,0,102,4,17,21,4,13,320.0,84.0,76.0,72.0,76.0,96.0,0
jamesmunns/nrf52dk-sys,1,1,0,1,0,0,1,0,0,85,85,18,120,jamesmunns/nrf52dk-sys,jamesmunns/nrf52dk-sys,0,8,8,3,0,0,0,57,1,7,8,0,6,272.0,78.0,75.0,52.0,75.0,70.0,0
yubo/ip_vs_ca,1,1,0,1,1,0,1,0,0,84,84,26,116,yubo/ip_vs_ca,yubo/ip_vs_ca,0,0,0,3,48,3,7,32,3,11,14,0,20,210.0,63.0,74.0,61.0,74.0,1.0,0
atnan/QLPrettyPatch,0,0,0,1,0,1,0,0,0,83,83,4,137,atnan/QLPrettyPatch,atnan/QLPrettyPatch,1,0,1,1,89326,1,1,11,0,0,0,0,5,199.0,55.0,73.0,13.0,73.0,40.0,0
vonj/snippets.org,0,0,0,0,0,0,1,0,0,82,82,37,112,vonj/snippets.org,vonj/snippets.org,0,0,0,3,0,0,0,5,0,0,0,0,3,223.0,66.0,72.0,78.0,72.0,1.0,0
awailly/nrop,1,0,0,1,0,1,0,0,1,81,81,16,123,awailly/nrop,awailly/nrop,0,2,2,3,0,0,0,126,3,1,4,1,10,238.0,72.0,71.0,40.0,71.0,56.0,0
zhanghuicuc/ffmpeg_camera_streamer,0,0,0,1,0,0,1,0,0,80,80,71,109,zhanghuicuc/ffmpeg_camera_streamer,zhanghuicuc/ffmpeg_camera_streamer,0,0,0,1,0,0,0,10,1,0,1,0,7,228.0,68.0,70.0,87.0,70.0,1.0,0
InfiniteSearchSpace/PyCl-Convergence,0,0,0,1,0,0,1,0,0,79,79,9,131,InfiniteSearchSpace/PyCl-Convergence,InfiniteSearchSpace/PyCl-Convergence,1,0,1,1,0,0,0,51,0,0,0,0,16,204.0,59.0,69.0,26.0,69.0,40.0,0
postmodern/digest-crc,1,1,0,1,1,1,1,0,0,78,78,28,117,postmodern/digest-crc,postmodern/digest-crc,0,0,0,8,0,0,0,229,4,18,22,0,50,201.0,56.0,68.0,64.0,68.0,1.0,0
illuspas/SayHi,0,0,1,0,0,0,0,0,0,77,77,66,113,illuspas/SayHi,illuspas/SayHi,0,0,0,1,0,0,0,19,0,3,3,0,7,220.0,65.0,67.0,85.0,67.0,1.0,0
PaulKlinger/cnn_card,1,1,0,0,0,0,0,0,0,76,76,2,144,PaulKlinger/cnn_card,PaulKlinger/cnn_card,0,0,0,1,0,0,0,65,0,0,0,0,4,140.0,28.0,66.0,7.0,66.0,1.0,0
CedricGuillemet/libProfiler,0,0,0,1,0,0,0,0,0,74,74,16,126,CedricGuillemet/libProfiler,CedricGuillemet/libProfiler,0,0,0,1,0,0,0,6,0,0,0,0,6,171.0,42.0,65.0,40.0,65.0,1.0,0
MerlijnWajer/tracy,0,1,0,1,0,0,1,0,0,72,72,21,124,MerlijnWajer/tracy,MerlijnWajer/tracy,1,0,1,10,0,0,0,596,12,33,45,0,10,223.0,66.0,64.0,55.0,64.0,40.0,0
upring/virtdbg,0,1,0,0,0,0,0,0,0,71,71,34,119,upring/virtdbg,upring/virtdbg,0,0,0,1,0,0,0,9,0,0,0,0,2,203.0,57.0,63.0,76.0,63.0,1.0,0
socketpair/nltrace,1,0,0,0,0,0,0,0,0,70,70,11,141,socketpair/nltrace,socketpair/nltrace,0,2,2,3,0,0,0,27,2,0,2,0,1,209.0,62.0,62.0,29.0,62.0,56.0,0
drotiro/boxfs2,0,0,0,1,0,1,0,1,0,69,69,13,139,drotiro/boxfs2,drotiro/boxfs2,1,0,1,10,0,0,0,112,1,17,18,0,6,195.0,54.0,61.0,33.0,61.0,40.0,0
wujr5/c-and-cpp-language-learning,1,0,0,0,1,0,0,0,0,68,68,33,122,wujr5/c-and-cpp-language-learning,wujr5/c-and-cpp-language-learning,0,1,1,3,0,0,0,92,46,2,48,0,45,233.0,69.0,60.0,73.0,60.0,40.0,0
xerub/ropc,0,0,0,1,0,0,0,0,0,67,67,14,140,xerub/ropc,xerub/ropc,0,0,0,1,0,0,0,70,0,1,1,0,3,154.0,36.0,59.0,35.0,59.0,1.0,0
joelgwebber/bench2d,0,1,0,1,1,0,0,0,0,66,66,40,121,joelgwebber/bench2d,joelgwebber/bench2d,0,17,17,15,0,0,0,115,1,3,4,0,12,278.0,81.0,58.0,81.0,58.0,81.0,0
PinkP4nther/Sutekh,0,0,0,1,1,0,0,0,0,65,65,25,129,PinkP4nther/Sutekh,PinkP4nther/Sutekh,0,1,1,1,0,0,0,21,0,0,0,0,12,212.0,64.0,57.0,58.0,57.0,40.0,0
nathan-osman/gimp-webp,0,1,0,1,0,0,0,0,0,63,63,7,145,nathan-osman/gimp-webp,nathan-osman/gimp-webp,1,6,7,7,0,0,0,83,6,3,9,0,9,203.0,57.0,56.0,22.0,56.0,69.0,0
noduino/noduino-sdk,0,1,0,1,0,0,1,0,0,62,62,18,135,noduino/noduino-sdk,noduino/noduino-sdk,0,0,0,5,0,0,0,1190,7,1,8,0,14,163.0,38.0,55.0,52.0,55.0,1.0,0
psmoveservice/psmove-ue4,0,1,0,1,1,0,1,0,0,61,61,28,128,psmoveservice/psmove-ue4,psmoveservice/psmove-ue4,0,8,8,3,0,0,0,186,11,11,22,1,38,242.0,73.0,54.0,64.0,54.0,70.0,0
lqs/crabdb,1,0,0,0,1,0,1,0,0,60,60,5,155,lqs/crabdb,lqs/crabdb,0,0,0,1,0,0,0,3,0,0,0,0,2,124.0,26.0,53.0,17.0,53.0,1.0,0
tresacton/exploits,0,0,0,1,0,0,1,0,0,59,59,29,127,tresacton/exploits,tresacton/exploits,0,0,0,5,0,0,0,42,0,0,0,0,22,174.0,52.0,52.0,69.0,52.0,1.0,0
drawapp8/cantk-runtime,1,0,0,0,1,0,0,0,0,58,58,24,138,drawapp8/cantk-runtime,drawapp8/cantk-runtime,0,0,0,1,0,0,0,28,0,0,0,0,18,160.0,37.0,51.0,57.0,51.0,1.0,0
ldthomas/apg-6.3,0,0,0,1,0,0,0,0,0,56,56,12,149,ldthomas/apg-6.3,ldthomas/apg-6.3,2,1,3,2,0,0,0,6,1,0,1,0,3,194.0,53.0,50.0,30.0,50.0,64.0,0
bazad/launchd-portrep,0,1,0,1,0,1,0,0,0,53,53,4,163,bazad/launchd-portrep,bazad/launchd-portrep,0,0,0,1,0,0,0,10,0,0,0,0,4,112.0,25.0,49.0,13.0,49.0,1.0,0
3gstudent/Bypass-Windows-AppLocker,0,0,0,1,0,0,0,0,0,52,52,29,133,3gstudent/Bypass-Windows-AppLocker,3gstudent/Bypass-Windows-AppLocker,0,0,0,1,0,0,0,3,0,0,0,0,1,166.0,39.0,48.0,69.0,48.0,1.0,0
Juniper/juise,1,0,0,1,0,1,0,0,0,50,50,14,154,Juniper/juise,Juniper/juise,0,12,12,14,1472,16,23,869,14,10,24,0,6,204.0,59.0,47.0,35.0,47.0,75.0,0
varnish/libvmod-curl,0,0,0,1,0,0,0,0,0,47,47,37,134,varnish/libvmod-curl,varnish/libvmod-curl,0,0,0,21,0,0,0,202,0,26,26,2,11,171.0,42.0,46.0,78.0,46.0,1.0,0
GRSource/Emoji,1,0,0,0,0,0,0,0,0,46,46,20,146,GRSource/Emoji,GRSource/Emoji,0,0,0,1,0,0,0,5,1,1,2,0,2,145.0,32.0,45.0,54.0,45.0,1.0,0
zephyrproject-rtos/meta-zephyr-sdk,0,0,0,1,0,0,1,0,0,45,45,28,143,zephyrproject-rtos/meta-zephyr-sdk,zephyrproject-rtos/meta-zephyr-sdk,0,35,35,9,45614,27,20,232,4,75,79,0,5,250.0,76.0,44.0,64.0,44.0,98.0,0
tangrs/usb-gba-multiboot,1,1,0,1,0,1,0,0,0,44,44,2,170,tangrs/usb-gba-multiboot,tangrs/usb-gba-multiboot,0,0,0,1,0,0,0,8,1,0,1,0,1,94.0,19.0,43.0,7.0,43.0,1.0,0
quetwo/as3-arduino-connector,0,0,0,1,0,0,0,0,0,43,43,21,153,quetwo/as3-arduino-connector,quetwo/as3-arduino-connector,0,0,0,3,0,0,0,52,15,21,36,0,1,140.0,28.0,42.0,55.0,42.0,1.0,0
ailispaw/docker-root-xhyve,1,1,0,1,0,0,1,0,0,42,42,4,168,ailispaw/docker-root-xhyve,ailispaw/docker-root-xhyve,0,0,0,1,568,9,9,89,2,9,11,0,60,96.0,20.0,41.0,13.0,41.0,1.0,0
rsyslog/libfastjson,0,1,0,1,1,0,0,0,0,41,41,26,148,rsyslog/libfastjson,rsyslog/libfastjson,1,88,89,69,0,0,0,698,29,45,74,2,7,254.0,77.0,40.0,61.0,40.0,113.0,0
eldarkg/emdr1986x-std-per-lib,1,0,0,1,1,0,0,0,0,40,40,26,150,eldarkg/emdr1986x-std-per-lib,eldarkg/emdr1986x-std-per-lib,0,24,24,8,0,0,0,154,9,24,33,1,27,233.0,69.0,39.0,61.0,39.0,94.0,0
promisechen/dpdk,1,0,0,1,1,0,1,0,0,39,39,28,147,promisechen/dpdk,promisechen/dpdk,0,0,0,3,0,0,0,54,1,0,1,0,19,141.0,30.0,38.0,64.0,38.0,1.0,0
WetDesertRock/GifCat,1,1,0,1,1,1,1,0,1,36,36,5,173,WetDesertRock/GifCat,WetDesertRock/GifCat,0,2,2,2,0,1,0,6,4,0,4,0,6,147.0,34.0,37.0,17.0,37.0,56.0,0
mltframework/melted,0,1,0,1,0,0,1,0,0,35,35,25,159,mltframework/melted,mltframework/melted,0,1,1,11,0,0,0,1408,1,2,3,0,14,170.0,41.0,36.0,58.0,36.0,40.0,0
nickgammon/MAX7219_Dot_Matrix,0,0,0,1,0,0,0,0,0,33,33,14,164,nickgammon/MAX7219_Dot_Matrix,nickgammon/MAX7219_Dot_Matrix,0,1,1,2,0,0,0,10,2,4,6,0,3,145.0,32.0,35.0,35.0,35.0,40.0,0
dji-sdk/Manifold-Cam,0,1,0,1,0,0,1,0,0,32,32,25,161,dji-sdk/Manifold-Cam,dji-sdk/Manifold-Cam,1,0,1,5,0,0,0,11,10,7,17,0,7,166.0,39.0,34.0,58.0,34.0,40.0,0
phplang/php-past,0,0,1,0,0,0,0,0,0,31,31,1,179,phplang/php-past,phplang/php-past,0,0,0,1,0,0,0,32,0,0,0,0,1,69.0,14.0,33.0,2.0,33.0,1.0,0
friendlyarm/uboot_tiny4412,1,1,0,1,1,1,1,0,1,30,30,37,152,friendlyarm/uboot_tiny4412,friendlyarm/uboot_tiny4412,0,0,0,1,0,0,0,7,0,0,0,0,1,143.0,31.0,32.0,78.0,32.0,1.0,0
toby20130333/qtquickqrencode,1,1,0,1,1,1,1,0,0,29,29,14,167,toby20130333/qtquickqrencode,toby20130333/qtquickqrencode,0,0,0,1,0,0,0,18,0,0,0,0,12,98.0,21.0,31.0,35.0,31.0,1.0,0
wireapp/cryptobox-c,1,1,0,1,1,0,1,0,0,28,28,17,165,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,172.0,44.0,23.0,43.0,23.0,83.0,0
wireapp/cryptobox-c,1,1,0,1,1,0,1,0,0,28,28,17,166,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,172.0,44.0,23.0,43.0,23.0,83.0,0
wireapp/cryptobox-c,1,1,0,1,1,0,1,0,0,28,28,17,165,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,172.0,44.0,23.0,43.0,23.0,83.0,0
wireapp/cryptobox-c,1,1,0,1,1,0,1,0,0,28,28,17,166,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,172.0,44.0,23.0,43.0,23.0,83.0,0
wireapp/cryptobox-c,1,1,0,1,1,0,1,0,0,28,28,17,165,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,172.0,44.0,23.0,43.0,23.0,83.0,0
wireapp/cryptobox-c,1,1,0,1,1,0,1,0,0,28,28,17,166,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,172.0,44.0,23.0,43.0,23.0,83.0,0
wireapp/cryptobox-c,1,1,0,1,1,0,1,0,0,28,28,17,165,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,172.0,44.0,23.0,43.0,23.0,83.0,0
wireapp/cryptobox-c,1,1,0,1,1,0,1,0,0,28,28,17,166,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,172.0,44.0,23.0,43.0,23.0,83.0,0
markvanderloo/gower,0,1,0,1,0,0,1,0,0,27,27,2,182,markvanderloo/gower,markvanderloo/gower,0,2,2,3,0,0,0,96,5,11,16,1,11,107.0,22.0,22.0,7.0,22.0,56.0,0
sooty1892/packet-pro,0,1,0,1,0,0,0,0,0,26,26,8,176,sooty1892/packet-pro,sooty1892/packet-pro,0,0,0,7,0,0,0,276,0,0,0,0,6,67.0,13.0,21.0,24.0,21.0,1.0,0
fm4dd/viper,0,1,0,1,1,0,0,0,0,24,24,15,171,fm4dd/viper,fm4dd/viper,0,0,0,1,0,0,0,24,0,0,0,0,17,80.0,16.0,20.0,39.0,20.0,1.0,0
open-power/capiflash,0,1,0,1,0,0,0,0,0,23,23,12,175,open-power/capiflash,open-power/capiflash,0,16,16,7,0,11,0,98,3,6,9,0,15,147.0,34.0,19.0,30.0,19.0,79.0,0
billyriantono/s2geometry-node,0,0,0,1,1,1,1,0,0,22,22,10,177,billyriantono/s2geometry-node,billyriantono/s2geometry-node,0,6,6,7,0,0,0,71,6,11,17,0,17,130.0,27.0,18.0,27.0,18.0,67.0,0
bk2204/php-hash-dos,0,1,0,1,0,0,0,0,0,21,21,3,187,bk2204/php-hash-dos,bk2204/php-hash-dos,0,0,0,1,0,0,0,8,0,0,0,0,5,45.0,6.0,17.0,10.0,17.0,1.0,0
cesanta/polar,0,0,0,1,0,1,0,0,0,18,18,6,185,cesanta/polar,cesanta/polar,0,2,2,3,0,0,0,5,1,0,1,0,2,109.0,24.0,16.0,21.0,16.0,56.0,0
SwiftOnTheServer/CCurl,0,1,0,1,0,0,0,0,0,17,17,7,184,SwiftOnTheServer/CCurl,SwiftOnTheServer/CCurl,0,0,0,1,0,0,0,8,0,0,0,0,4,53.0,8.0,15.0,22.0,15.0,1.0,0
hikdo/idevice,1,1,0,1,0,0,0,0,0,16,16,8,183,hikdo/idevice,hikdo/idevice,0,0,0,5,0,0,0,12,0,0,0,0,8,53.0,8.0,14.0,24.0,14.0,1.0,0
Lyq1st/chromeExtInstaller,0,0,0,1,0,0,1,0,0,15,15,13,178,Lyq1st/chromeExtInstaller,Lyq1st/chromeExtInstaller,0,0,0,1,0,0,0,24,1,1,2,0,7,60.0,10.0,13.0,33.0,13.0,1.0,0
kolasa/fglrx-core-15.201,0,0,0,0,1,0,0,0,0,14,14,4,189,kolasa/fglrx-core-15.201,kolasa/fglrx-core-15.201,0,1,1,1,0,0,0,7,2,3,5,0,1,77.0,15.0,12.0,13.0,12.0,40.0,0
spaze/upc_keys-lambda,0,1,0,1,0,0,0,0,0,13,13,12,180,spaze/upc_keys-lambda,spaze/upc_keys-lambda,0,2,2,2,0,0,0,18,1,0,1,0,4,108.0,23.0,11.0,30.0,11.0,56.0,0
pili-engineering/cpili,1,1,0,1,0,1,0,0,0,12,12,10,186,pili-engineering/cpili,pili-engineering/cpili,0,0,0,1,0,0,0,34,0,1,1,0,11,48.0,7.0,10.0,27.0,10.0,1.0,0
mpatraw/butterfly,0,1,0,1,0,0,0,0,0,11,11,0,193,mpatraw/butterfly,mpatraw/butterfly,0,0,0,2,0,0,0,99,0,0,0,0,43,20.0,4.0,9.0,1.0,9.0,1.0,0
starwing/lua-miniz,0,0,0,1,0,0,0,0,0,10,10,3,191,starwing/lua-miniz,starwing/lua-miniz,0,1,1,2,0,0,0,13,0,1,1,0,3,66.0,12.0,8.0,10.0,8.0,40.0,0
pts/pts-swiggle,0,1,0,1,0,0,0,0,0,8,8,1,194,pts/pts-swiggle,pts/pts-swiggle,0,0,0,1,0,0,0,63,0,0,0,0,1,17.0,3.0,7.0,2.0,7.0,1.0,0
rebelbot/OptimizerLesson,0,0,1,0,0,0,0,0,0,7,7,5,190,rebelbot/OptimizerLesson,rebelbot/OptimizerLesson,0,2,2,2,0,2,0,7,0,0,0,0,1,85.0,17.0,6.0,17.0,6.0,56.0,0
beebeeep/recent,0,1,0,0,0,0,0,0,0,6,6,1,196,beebeeep/recent,beebeeep/recent,0,0,0,3,0,0,0,11,0,0,0,0,2,13.0,2.0,5.0,2.0,5.0,1.0,0
JayKothari/uart_rtdm,1,0,0,0,0,0,1,0,0,5,5,1,197,JayKothari/uart_rtdm,JayKothari/uart_rtdm,0,0,0,1,0,0,0,6,0,0,0,0,2,11.0,1.0,4.0,2.0,4.0,1.0,0
lariodiniz/REFO,0,1,0,0,0,0,0,0,0,4,4,1,198,lariodiniz/REFO,lariodiniz/REFO,0,2,2,2,0,0,0,12,0,0,0,0,1,64.0,11.0,3.0,2.0,3.0,56.0,0
OpenKore/grftool,0,1,0,1,0,0,0,0,0,3,3,5,192,OpenKore/grftool,OpenKore/grftool,0,0,0,1,0,0,0,5,0,0,0,0,1,22.0,5.0,2.0,17.0,2.0,1.0,0
HomeBankCode/lena-its-tools,0,1,0,1,0,0,0,0,0,2,2,3,195,HomeBankCode/lena-its-tools,HomeBankCode/lena-its-tools,0,17,17,5,0,2,0,130,0,0,0,0,10,93.0,18.0,1.0,10.0,1.0,81.0,0
