fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
microsoft/PowerToys,0,1,0,1,1,1,1,1,0,64333,64333,3556,0,microsoft/PowerToys,313.0,7165238.0,30.0,55.0,5768.0,2339.0,11105.0,13444.0,20.0,3429.0,3449.0,2.0,180.0,699.0,180.0,182.0,172.0,182.0,163.0,1,microsoft/PowerToys,2019-05-01 17:44:02,1039,0.3012512030798845,0.05293551491819057,0.028873917228103944,5.5514918190567855,1.8333333333333333,7.413699069618223,699.0
shadowsocks/shadowsocks-windows,0,1,0,1,0,1,1,1,0,53513,53513,16188,1,shadowsocks/shadowsocks-windows,91.0,113682379.0,30.0,43.0,1718.0,71.0,2686.0,2757.0,4.0,458.0,462.0,2.0,81.0,667.0,177.0,181.0,181.0,181.0,124.0,1,shadowsocks/shadowsocks-windows,2013-01-14 07:54:16,3337,0.027270002996703627,0.012885825591848966,0.008990110878034162,0.5148336829487564,1.4333333333333333,1.9571571271601238,667.0
PowerShell/PowerShell,1,1,0,1,1,1,1,1,0,31124,31124,4908,2,PowerShell/PowerShell,466.0,107417.0,30.0,681.0,9258.0,3123.0,6795.0,9918.0,93.0,6375.0,6468.0,0.0,316.0,711.0,181.0,180.0,177.0,180.0,174.0,1,PowerShell/PowerShell,2016-01-13 23:41:35,2243,0.207757467677218,0.3036112349531877,0.013374944271065538,4.1275078020508245,22.7,26.84088274632189,711.0
dotnet/aspnetcore,0,1,0,0,0,1,1,1,0,26646,26646,7147,3,dotnet/aspnetcore,1195.0,0.0,2.0,0.0,48991.0,2271.0,22893.0,25164.0,50.0,12218.0,12268.0,10.0,41.0,715.0,182.0,179.0,179.0,179.0,178.0,1,dotnet/aspnetcore,2014-03-11 06:09:42,2916,0.4098079561042524,0.0,0.0006858710562414266,16.800754458161865,0.0,16.801440329218106,715.0
2dust/v2rayN,0,0,0,1,1,0,0,0,0,24225,24225,5121,4,2dust/v2rayN,18.0,1214738.0,30.0,60.0,413.0,24.0,1843.0,1867.0,1.0,104.0,105.0,0.0,4.0,636.0,170.0,178.0,178.0,178.0,102.0,1,2dust/v2rayN,2019-07-30 03:47:24,949,0.018967334035827187,0.06322444678609063,0.03161222339304531,0.4351949420442571,2.0,2.4668071654373023,636.0
CodeHubApp/CodeHub,0,0,0,1,0,1,1,1,0,23312,23312,642,5,CodeHubApp/CodeHub,10.0,0.0,2.0,0.0,593.0,234.0,407.0,641.0,1.0,20.0,21.0,2.0,15.0,529.0,135.0,177.0,97.0,177.0,78.0,1,CodeHubApp/CodeHub,2013-07-23 22:19:57,3147,0.0031776294884016524,0.0,0.0006355258976803305,0.188433428662218,0.0,0.1890689545598983,529.0
Wox-launcher/Wox,0,1,0,1,0,1,1,1,0,21061,21061,2257,6,Wox-launcher/Wox,130.0,756437.0,30.0,105.0,2749.0,798.0,2397.0,3195.0,10.0,437.0,447.0,7.0,151.0,626.0,165.0,176.0,152.0,176.0,122.0,1,Wox-launcher/Wox,2013-12-19 15:49:32,2998,0.04336224149432955,0.03502334889926618,0.01000667111407605,0.9169446297531688,3.5,4.426951300867245,626.0
dnSpy/dnSpy,1,1,0,1,0,1,1,0,0,19582,19582,3658,7,dnSpy/dnSpy,31.0,164878.0,1.0,3.0,3932.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0,41.0,620.0,163.0,175.0,174.0,175.0,96.0,1,dnSpy/dnSpy,2015-07-01 16:05:10,2439,0.012710127101271012,0.0012300123001230013,0.0004100041000410004,1.6121361213612135,3.0,4.612546125461255,620.0
dotnet-architecture/eShopOnContainers,0,1,0,1,1,0,1,0,0,19281,19281,8186,8,dotnet-architecture/eShopOnContainers,200.0,0.0,2.0,0.0,3967.0,34.0,1076.0,1110.0,15.0,695.0,710.0,0.0,180.0,661.0,175.0,174.0,180.0,174.0,133.0,1,dotnet-architecture/eShopOnContainers,2016-10-05 22:35:23,1977,0.10116337885685382,0.0,0.0010116337885685382,2.0065756196256954,0.0,2.007587253414264,661.0
ShareX/ShareX,1,1,0,0,0,0,1,0,0,17970,17970,2334,9,ShareX/ShareX,255.0,11601087.0,30.0,62.0,7100.0,350.0,4824.0,5174.0,7.0,923.0,930.0,1.0,50.0,642.0,171.0,173.0,155.0,173.0,141.0,1,ShareX/ShareX,2013-10-08 23:32:10,3070,0.08306188925081433,0.020195439739413682,0.009771986970684038,2.3127035830618894,2.066666666666667,4.38914223669924,642.0
mxgmn/WaveFunctionCollapse,1,1,0,1,0,1,1,0,1,17092,17092,885,10,mxgmn/WaveFunctionCollapse,17.0,0.0,2.0,0.0,135.0,0.0,40.0,40.0,0.0,29.0,29.0,0.0,97.0,538.0,137.0,172.0,112.0,172.0,82.0,1,mxgmn/WaveFunctionCollapse,2016-09-30 11:53:17,1982,0.008577194752774974,0.0,0.0010090817356205853,0.0681130171543895,0.0,0.06912209889001009,538.0
thangchung/awesome-dotnet-core,1,1,0,1,1,1,1,0,0,15409,15409,2426,12,thangchung/awesome-dotnet-core,255.0,0.0,2.0,0.0,1251.0,19.0,51.0,70.0,112.0,601.0,713.0,0.0,1125.0,635.0,168.0,171.0,158.0,171.0,135.0,1,thangchung/awesome-dotnet-core,2016-03-17 03:52:09,2179,0.11702615878843506,0.0,0.0009178522257916476,0.5741165672326756,0.0,0.5750344194584672,635.0
dotnet/roslyn,1,1,0,0,1,1,1,1,0,15254,15254,3471,13,dotnet/roslyn,710.0,21246.0,30.0,2.0,83370.0,8634.0,19269.0,27903.0,407.0,30810.0,31217.0,1.0,117.0,692.0,179.0,170.0,170.0,170.0,182.0,1,dotnet/roslyn,2015-01-11 02:39:03,2610,0.2720306513409962,0.0007662835249042146,0.011494252873563218,31.942528735632184,0.06666666666666667,32.02068965517242,692.0
files-community/Files,0,1,0,1,0,0,1,1,0,14988,14988,839,14,files-community/Files,217.0,51021.0,30.0,18.0,3342.0,801.0,4899.0,5700.0,16.0,2843.0,2859.0,0.0,62.0,605.0,160.0,169.0,108.0,169.0,159.0,1,files-community/Files,2019-01-04 18:19:14,1156,0.18771626297577854,0.015570934256055362,0.025951557093425604,2.8910034602076125,0.6,3.516955017301038,605.0
DapperLib/Dapper,0,1,0,1,1,1,1,0,0,14287,14287,3432,15,DapperLib/Dapper,218.0,0.0,2.0,0.0,1512.0,293.0,793.0,1086.0,39.0,521.0,560.0,10.0,80.0,633.0,167.0,168.0,169.0,168.0,128.0,1,DapperLib/Dapper,2011-04-14 08:42:59,3978,0.05480140774258421,0.0,0.0005027652086475615,0.38009049773755654,0.0,0.3805932629462041,633.0
dotnet/maui,0,1,0,1,0,1,1,1,0,12966,12966,628,17,dotnet/maui,472.0,43.0,20.0,59.0,9066.0,932.0,1531.0,2463.0,69.0,1994.0,2063.0,0.0,112.0,586.0,151.0,167.0,96.0,167.0,156.0,1,dotnet/maui,2020-05-08 18:11:05,666,0.7087087087087087,0.08858858858858859,0.03003003003003003,13.612612612612613,2.95,16.592642642642645,586.0
jellyfin/jellyfin,0,1,0,1,0,0,1,0,0,12501,12501,1283,18,jellyfin/jellyfin,861.0,644.0,30.0,138.0,22654.0,606.0,3083.0,3689.0,65.0,3216.0,3281.0,1.0,172.0,623.0,164.0,166.0,129.0,166.0,162.0,1,jellyfin/jellyfin,2018-12-09 06:36:45,1182,0.7284263959390863,0.116751269035533,0.025380710659898477,19.165820642978005,4.6,23.791201353637902,623.0
AvaloniaUI/Avalonia,1,1,0,1,0,1,1,1,0,12499,12499,1121,19,AvaloniaUI/Avalonia,288.0,0.0,2.0,0.0,18349.0,1202.0,2659.0,3861.0,29.0,3056.0,3085.0,0.0,127.0,615.0,162.0,165.0,124.0,165.0,161.0,1,AvaloniaUI/Avalonia,2013-12-05 20:13:21,3012,0.09561752988047809,0.0,0.0006640106241699867,6.091965471447543,0.0,6.092629482071714,615.0
huiyadanli/RevokeMsgPatcher,1,0,0,0,0,1,0,0,0,12325,12325,1677,20,huiyadanli/RevokeMsgPatcher,2.0,234548.0,12.0,12.0,169.0,27.0,233.0,260.0,0.0,5.0,5.0,0.0,52.0,523.0,132.0,164.0,139.0,164.0,56.0,1,huiyadanli/RevokeMsgPatcher,2019-07-21 15:12:52,958,0.0020876826722338203,0.012526096033402923,0.012526096033402923,0.17640918580375783,1.0,1.1889352818371608,523.0
Unity-Technologies/ml-agents,0,1,0,1,0,1,1,0,0,12058,12058,3216,21,Unity-Technologies/ml-agents,157.0,0.0,2.0,0.0,3382.0,185.0,2441.0,2626.0,15.0,3063.0,3078.0,2.0,125.0,652.0,173.0,163.0,166.0,163.0,160.0,1,Unity-Technologies/ml-agents,2017-09-08 21:09:04,1639,0.09579011592434411,0.0,0.0012202562538133007,2.063453325198292,0.0,2.064673581452105,652.0
MaterialDesignInXAML/MaterialDesignInXamlToolkit,1,1,0,1,0,1,1,1,1,11547,11547,2836,22,MaterialDesignInXAML/MaterialDesignInXamlToolkit,183.0,86419.0,30.0,68.0,2462.0,217.0,1294.0,1511.0,5.0,1070.0,1075.0,5.0,84.0,635.0,168.0,162.0,164.0,162.0,147.0,1,MaterialDesignInXAML/MaterialDesignInXamlToolkit,2015-02-07 23:30:48,2583,0.07084785133565621,0.02632597754548974,0.011614401858304297,0.9531552458381727,2.2666666666666666,3.2314363143631435,635.0
dotnet/efcore,0,1,0,1,0,0,1,1,0,10809,10809,2675,23,dotnet/efcore,341.0,0.0,2.0,0.0,12699.0,1528.0,15917.0,17445.0,18.0,9838.0,9856.0,5.0,52.0,661.0,175.0,161.0,162.0,161.0,177.0,1,dotnet/efcore,2014-01-23 00:52:01,2963,0.1150860614242322,0.0,0.0006749915626054674,4.2858589267634155,0.0,4.286533918326021,661.0
Ryujinx/Ryujinx,0,1,0,1,0,1,1,0,0,10415,10415,1261,24,Ryujinx/Ryujinx,110.0,0.0,2.0,0.0,2032.0,302.0,810.0,1112.0,66.0,1945.0,2011.0,0.0,55.0,602.0,159.0,160.0,127.0,160.0,155.0,1,Ryujinx/Ryujinx,2018-02-04 23:07:54,1490,0.0738255033557047,0.0,0.0013422818791946308,1.3637583892617449,0.0,1.3651006711409395,602.0
netchx/netch,1,1,0,1,0,1,1,0,1,10220,10220,1617,25,netchx/netch,6.0,428998.0,30.0,30.0,291.0,7.0,603.0,610.0,0.0,184.0,184.0,0.0,10.0,567.0,146.0,159.0,137.0,159.0,112.0,1,netchx/netch,2019-06-25 09:55:30,984,0.006097560975609756,0.03048780487804878,0.03048780487804878,0.29573170731707316,1.0,1.326219512195122,567.0
QL-Win/QuickLook,1,1,0,1,0,1,1,0,0,10213,10213,788,26,QL-Win/QuickLook,56.0,495104.0,30.0,60.0,818.0,330.0,678.0,1008.0,2.0,89.0,91.0,0.0,76.0,517.0,130.0,158.0,104.0,158.0,97.0,1,QL-Win/QuickLook,2017-04-12 14:57:38,1788,0.03131991051454139,0.03355704697986577,0.016778523489932886,0.4574944071588367,2.0,2.4742729306487696,517.0
OpenRA/OpenRA,0,1,0,1,0,1,1,1,0,10163,10163,2316,27,OpenRA/OpenRA,410.0,45967.0,30.0,261.0,28593.0,1515.0,7119.0,8634.0,91.0,9078.0,9169.0,1.0,38.0,644.0,172.0,157.0,154.0,157.0,176.0,1,OpenRA/OpenRA,2010-10-04 07:38:05,4170,0.09832134292565947,0.06258992805755395,0.007194244604316547,6.8568345323741005,8.7,15.564028776978416,644.0
aspnetboilerplate/aspnetboilerplate,1,1,0,1,0,1,1,0,0,10020,10020,3522,28,aspnetboilerplate/aspnetboilerplate,219.0,0.0,2.0,0.0,7062.0,191.0,5011.0,5202.0,5.0,1180.0,1185.0,1.0,49.0,631.0,166.0,156.0,171.0,156.0,148.0,1,aspnetboilerplate/aspnetboilerplate,2013-08-18 20:45:08,3121,0.07016981736622878,0.0,0.0006408202499198974,2.262736302467158,0.0,2.2633771227170776,631.0
dotnet/AspNetCore.Docs,0,1,0,0,0,0,1,0,0,9899,9899,23160,29,dotnet/AspNetCore.Docs,1694.0,4540.0,30.0,30.0,13809.0,543.0,11214.0,11757.0,9.0,13409.0,13418.0,1.0,25.0,671.0,178.0,155.0,182.0,155.0,179.0,1,dotnet/AspNetCore.Docs,2014-12-19 17:38:02,2633,0.643372578807444,0.01139384732244588,0.01139384732244588,5.244587922521839,1.0,6.255981769844285,671.0
App-vNext/Polly,1,1,0,1,1,1,1,1,1,9894,9894,929,30,App-vNext/Polly,72.0,518.0,27.0,42.0,1000.0,69.0,469.0,538.0,5.0,385.0,390.0,2.0,203.0,541.0,139.0,154.0,115.0,154.0,118.0,1,App-vNext/Polly,2013-05-05 04:40:04,3226,0.022318660880347178,0.013019218846869188,0.008369497830130192,0.30998140111593303,1.5555555555555556,1.8739064545016189,541.0
lionsoul2014/ip2region,1,0,0,1,0,0,0,0,0,9786,9786,1784,31,lionsoul2014/ip2region,36.0,0.0,2.0,0.0,311.0,24.0,129.0,153.0,5.0,47.0,52.0,0.0,43.0,539.0,138.0,153.0,143.0,153.0,90.0,1,lionsoul2014/ip2region,2015-11-02 00:43:13,2315,0.015550755939524838,0.0,0.0008639308855291577,0.13434125269978403,0.0,0.1352051835853132,539.0
mono/mono,0,0,0,1,0,1,0,1,0,9593,9593,3620,32,mono/mono,1325.0,0.0,2.0,0.0,122541.0,2063.0,2750.0,4813.0,93.0,16428.0,16521.0,0.0,55.0,657.0,174.0,152.0,173.0,152.0,180.0,1,mono/mono,2010-07-22 18:06:36,4244,0.31220546654099907,0.0,0.000471253534401508,28.873939679547597,0.0,28.874410933081997,657.0
JamesNK/Newtonsoft.Json,0,1,0,0,0,0,0,0,0,8964,8964,2944,33,JamesNK/Newtonsoft.Json,125.0,664636.0,30.0,30.0,1853.0,558.0,1473.0,2031.0,67.0,529.0,596.0,0.0,14.0,596.0,156.0,151.0,165.0,151.0,129.0,1,JamesNK/Newtonsoft.Json,2012-02-18 07:30:28,3668,0.03407851690294438,0.008178844056706653,0.008178844056706653,0.5051799345692476,1.0,1.5133587786259541,596.0
ardalis/CleanArchitecture,0,1,0,1,1,1,1,0,0,8728,8728,1595,34,ardalis/CleanArchitecture,41.0,0.0,2.0,0.0,312.0,14.0,129.0,143.0,14.0,183.0,197.0,1.0,40.0,548.0,142.0,150.0,135.0,150.0,113.0,1,ardalis/CleanArchitecture,2016-09-30 14:19:20,1982,0.020686175580221997,0.0,0.0010090817356205853,0.1574167507568113,0.0,0.1584258324924319,548.0
bitwarden/server,0,1,0,1,0,0,1,1,0,8726,8726,737,35,bitwarden/server,99.0,4962.0,30.0,56.0,3315.0,97.0,769.0,866.0,16.0,1007.0,1023.0,0.0,56.0,543.0,140.0,149.0,101.0,149.0,144.0,1,bitwarden/server,2015-11-23 23:45:33,2294,0.043156059285091544,0.024411508282476024,0.013077593722755012,1.445074106364429,1.8666666666666667,3.324818366753851,543.0
Unity-Technologies/UnityCsReference,0,0,0,0,0,0,1,0,0,8524,8524,1863,36,Unity-Technologies/UnityCsReference,1.0,0.0,2.0,0.0,145.0,0.0,0.0,0.0,2.0,14.0,16.0,0.0,145.0,514.0,127.0,148.0,145.0,148.0,73.0,1,Unity-Technologies/UnityCsReference,2018-03-23 13:08:32,1443,0.000693000693000693,0.0,0.001386001386001386,0.10048510048510048,0.0,0.10187110187110186,514.0
SignalR/SignalR,1,1,0,1,0,1,1,1,1,8508,8508,2283,37,SignalR/SignalR,111.0,0.0,2.0,0.0,4723.0,27.0,3563.0,3590.0,1.0,1025.0,1026.0,0.0,45.0,592.0,154.0,147.0,153.0,147.0,145.0,1,SignalR/SignalR,2011-07-22 03:52:19,3879,0.028615622583139984,0.0,0.0005155968032998196,1.2175818509925238,0.0,1.2180974477958235,592.0
ppy/osu,0,1,0,1,1,1,1,1,0,8485,8485,1423,38,ppy/osu,370.0,143536.0,30.0,329.0,49559.0,764.0,5911.0,6675.0,51.0,8468.0,8519.0,0.0,110.0,599.0,157.0,146.0,132.0,146.0,175.0,1,ppy/osu,2014-07-31 04:26:30,2774,0.13338139870223503,0.11860129776496034,0.010814708002883922,17.865537130497476,10.966666666666667,28.843018505167024,599.0
cefsharp/CefSharp,1,1,0,1,1,1,1,0,0,8410,8410,2719,39,cefsharp/CefSharp,205.0,0.0,2.0,0.0,6049.0,36.0,2545.0,2581.0,2.0,818.0,820.0,2.0,175.0,591.0,153.0,145.0,163.0,145.0,138.0,1,cefsharp/CefSharp,2010-12-03 15:23:23,4110,0.049878345498783457,0.0,0.00048661800486618007,1.4717761557177615,0.0,1.4722627737226277,591.0
IdentityServer/IdentityServer4,0,1,0,1,1,1,1,0,0,8405,8405,3256,40,IdentityServer/IdentityServer4,292.0,0.0,2.0,0.0,3270.0,49.0,4445.0,4494.0,7.0,917.0,924.0,0.0,78.0,595.0,155.0,144.0,167.0,144.0,140.0,1,IdentityServer/IdentityServer4,2015-11-22 08:21:58,2295,0.1272331154684096,0.0,0.0008714596949891067,1.4248366013071896,0.0,1.4257080610021786,595.0
AutoMapper/AutoMapper,0,1,0,1,0,1,1,0,0,8384,8384,1642,41,AutoMapper/AutoMapper,193.0,0.0,2.0,0.0,3904.0,0.0,2750.0,2750.0,3.0,984.0,987.0,0.0,37.0,566.0,145.0,143.0,138.0,143.0,142.0,1,AutoMapper/AutoMapper,2010-02-06 15:17:58,4410,0.043764172335600905,0.0,0.00045351473922902497,0.8852607709750567,0.0,0.8857142857142858,566.0
restsharp/RestSharp,1,1,0,0,0,1,1,1,0,8134,8134,2175,42,restsharp/RestSharp,300.0,0.0,2.0,0.0,2004.0,18.0,1151.0,1169.0,8.0,599.0,607.0,3.0,20.0,563.0,144.0,142.0,149.0,142.0,130.0,1,restsharp/RestSharp,2009-11-16 02:01:45,4492,0.06678539626001781,0.0,0.0004452359750667854,0.44612644701691895,0.0,0.44657168299198574,563.0
felixse/FluentTerminal,1,1,0,1,0,0,1,0,1,8112,8112,418,43,felixse/FluentTerminal,63.0,135108.0,30.0,39.0,650.0,233.0,460.0,693.0,1.0,288.0,289.0,1.0,50.0,485.0,113.0,141.0,87.0,141.0,116.0,1,felixse/FluentTerminal,2018-01-21 09:45:11,1504,0.04188829787234043,0.025930851063829786,0.0199468085106383,0.4321808510638298,1.3,1.7521276595744681,485.0
dotnet/csharplang,0,0,0,1,0,0,1,0,0,8056,8056,852,44,dotnet/csharplang,142.0,0.0,2.0,0.0,1826.0,424.0,1559.0,1983.0,23.0,729.0,752.0,1.0,15.0,525.0,133.0,140.0,109.0,140.0,136.0,1,dotnet/csharplang,2016-12-09 01:45:27,1912,0.07426778242677824,0.0,0.0010460251046025104,0.9550209205020921,0.0,0.9560669456066946,525.0
dotnet/orleans,0,1,0,1,0,1,1,0,0,8054,8054,1760,45,dotnet/orleans,335.0,0.0,2.0,0.0,5203.0,305.0,2914.0,3219.0,22.0,4319.0,4341.0,5.0,89.0,589.0,152.0,139.0,142.0,139.0,169.0,1,dotnet/orleans,2014-12-19 14:32:50,2633,0.12723129510064565,0.0,0.0007595898214963919,1.9760729206228635,0.0,1.97683251044436,589.0
MahApps/MahApps.Metro,0,1,0,1,0,1,1,0,1,7996,7996,2356,46,MahApps/MahApps.Metro,216.0,5892.0,30.0,85.0,6122.0,65.0,2713.0,2778.0,7.0,1369.0,1376.0,3.0,95.0,582.0,150.0,138.0,156.0,138.0,150.0,1,MahApps/MahApps.Metro,2011-10-16 04:16:10,3793,0.056947007645663066,0.022409702082784075,0.007909306617453203,1.6140258370682836,2.8333333333333335,4.45526847701907,582.0
MonoGame/MonoGame,0,1,0,1,0,1,1,1,0,7982,7982,2518,47,MonoGame/MonoGame,430.0,21049.0,17.0,55.0,12883.0,685.0,2707.0,3392.0,104.0,4091.0,4195.0,2.0,69.0,601.0,158.0,137.0,160.0,137.0,167.0,1,MonoGame/MonoGame,2011-04-07 00:23:40,3985,0.10790464240903387,0.013801756587202008,0.004265997490589712,3.2328732747804265,3.235294117647059,6.472433389918075,601.0
chocolatey/choco,1,1,0,1,1,1,1,1,0,7874,7874,785,48,chocolatey/choco,116.0,147.0,2.0,4.0,3416.0,759.0,1355.0,2114.0,65.0,361.0,426.0,37.0,68.0,495.0,118.0,136.0,103.0,136.0,120.0,1,chocolatey/choco,2014-12-30 22:12:11,2622,0.04424103737604882,0.0015255530129672007,0.0007627765064836003,1.3028222730739893,2.0,3.303585049580473,495.0
dotnet/machinelearning,0,1,0,1,1,1,1,1,0,7734,7734,1697,49,dotnet/machinelearning,198.0,0.0,2.0,0.0,2543.0,640.0,2570.0,3210.0,9.0,2840.0,2849.0,3.0,63.0,568.0,147.0,135.0,140.0,135.0,158.0,1,dotnet/machinelearning,2018-05-03 16:20:42,1402,0.14122681883024252,0.0,0.0014265335235378032,1.8138373751783168,0.0,1.8152639087018545,568.0
dotnet/runtime,0,1,0,1,0,1,1,1,0,7646,7646,2556,50,dotnet/runtime,2529.0,0.0,2.0,0.0,116183.0,7841.0,38541.0,46382.0,219.0,18636.0,18855.0,2.0,25.0,610.0,161.0,134.0,161.0,134.0,181.0,1,dotnet/runtime,2019-09-24 23:36:39,893,2.832026875699888,0.0,0.0022396416573348264,130.10414333706606,0.0,130.1063829787234,610.0
JustArchiNET/ArchiSteamFarm,1,1,0,1,0,0,1,0,0,7172,7172,854,51,JustArchiNET/ArchiSteamFarm,47.0,2941.0,30.0,298.0,9862.0,0.0,1101.0,1101.0,0.0,1327.0,1327.0,1.0,115.0,525.0,133.0,133.0,110.0,133.0,149.0,1,JustArchiNET/ArchiSteamFarm,2015-10-25 05:12:33,2323,0.020232458028411535,0.12828239345673698,0.012914334911752045,4.2453723633232885,9.933333333333334,14.191620031568373,525.0
jbogard/MediatR,0,1,0,1,0,0,0,0,0,7164,7164,891,52,jbogard/MediatR,67.0,0.0,2.0,0.0,502.0,70.0,469.0,539.0,8.0,163.0,171.0,0.0,13.0,488.0,115.0,132.0,113.0,132.0,111.0,1,jbogard/MediatR,2014-03-03 15:01:22,2924,0.022913816689466484,0.0,0.0006839945280437756,0.1716826265389877,0.0,0.17236662106703146,488.0
NancyFx/Nancy,0,1,0,1,0,1,1,1,0,7155,7155,1518,53,NancyFx/Nancy,338.0,0.0,2.0,0.0,5476.0,196.0,1136.0,1332.0,26.0,1646.0,1672.0,0.0,17.0,548.0,142.0,131.0,134.0,131.0,152.0,1,NancyFx/Nancy,2010-06-24 19:35:22,4272,0.07911985018726592,0.0,0.00046816479400749064,1.2818352059925093,0.0,1.2823033707865168,548.0
jasontaylordev/CleanArchitecture,1,1,0,1,0,1,1,0,0,7125,7125,1596,54,jasontaylordev/CleanArchitecture,55.0,0.0,2.0,0.0,354.0,73.0,258.0,331.0,19.0,120.0,139.0,1.0,58.0,502.0,123.0,130.0,136.0,130.0,106.0,1,jasontaylordev/CleanArchitecture,2019-10-07 18:44:32,880,0.0625,0.0,0.0022727272727272726,0.4022727272727273,0.0,0.40454545454545454,502.0
dotnet/BenchmarkDotNet,0,1,0,1,0,1,1,1,0,7110,7110,728,55,dotnet/BenchmarkDotNet,190.0,0.0,2.0,0.0,2214.0,167.0,1098.0,1265.0,29.0,648.0,677.0,7.0,115.0,490.0,117.0,129.0,100.0,129.0,132.0,1,dotnet/BenchmarkDotNet,2013-08-18 06:17:48,3121,0.06087792374239026,0.0,0.0006408202499198974,0.7093880166613264,0.0,0.7100288369112463,490.0
abpframework/abp,0,1,0,1,0,1,1,1,0,7104,7104,2241,56,abpframework/abp,307.0,0.0,2.0,0.0,23180.0,542.0,6065.0,6607.0,51.0,5005.0,5056.0,1.0,43.0,579.0,148.0,128.0,151.0,128.0,172.0,1,abpframework/abp,2016-12-03 22:56:24,1918,0.16006256517205422,0.0,0.0010427528675703858,12.08550573514077,0.0,12.086548488008342,579.0
Perfare/AssetStudio,1,1,0,1,0,0,1,0,0,7102,7102,1294,57,Perfare/AssetStudio,24.0,208861.0,22.0,29.0,556.0,68.0,803.0,871.0,4.0,58.0,62.0,0.0,36.0,478.0,111.0,127.0,130.0,127.0,94.0,1,Perfare/AssetStudio,2016-08-02 11:59:11,2041,0.011758941695247428,0.014208721215090642,0.010779029887310143,0.2724154826065654,1.3181818181818181,1.6013763306756936,478.0
HangfireIO/Hangfire,1,1,0,1,0,1,1,1,0,7098,7098,1471,58,HangfireIO/Hangfire,154.0,614.0,30.0,30.0,3536.0,630.0,931.0,1561.0,53.0,397.0,450.0,1.0,124.0,508.0,125.0,126.0,133.0,126.0,123.0,1,HangfireIO/Hangfire,2013-08-06 09:43:04,3133,0.04915416533673795,0.009575486753909991,0.009575486753909991,1.1286307053941909,1.0,2.138206192148101,508.0
JeffreySu/WeiXinMPSDK,1,0,0,1,0,0,0,1,0,7076,7076,4146,59,JeffreySu/WeiXinMPSDK,153.0,0.0,2.0,0.0,9388.0,159.0,707.0,866.0,3.0,1723.0,1726.0,0.0,581.0,579.0,148.0,125.0,176.0,125.0,153.0,1,JeffreySu/WeiXinMPSDK,2013-01-11 13:52:44,3340,0.04580838323353294,0.0,0.0005988023952095808,2.8107784431137723,0.0,2.811377245508982,579.0
